3575,0
3500,0
16437,295744
211,548
1757,19238
3500,0
983,11
3575,0
3575,0
3500,0
3500,0
3575,0
4875,429
3360,0
-296,4950
824,15
3683,353
1504,15
3575,0
2520,4709
2015,86
4913,95
3500,0
3500,0
1676,2239
58,89
3500,0
3475,0
3650,0
3575,0
3360,0
11742,120
6719,22248
833,459
3292,16
1253,918
3660,0
3650,0
3500,0
7385,975
2819,50
3500,0
3500,0
3500,0
3575,0
3575,0
525,22500
2580,610
3500,0
2236,1072
3575,0
3500,0
2459,1000
3650,0
773,606
1367,409
52,192
794,72
4877,401
1563,102
11783,343
-7284,2350
3500,0
3449,1535
827,895
9721,260
3650,0
181,1912
0,3360
2932,791
3575,0
3500,0
583,34066
0,3360
3500,0
7569,36
3575,0
3832,109
1397,298
252,843
4464,300
5437,258
3575,0
3500,0
843,275
3500,0
3500,0
1540,85
3575,0
10373,482
742,58
3500,0
3575,0
1258,221
332,54827
1420,1102
3500,0
3875,0
776,4954
3500,0
728,2413
0,3360
7500,0
3500,0
7200,0
3500,0
3109,145
3360,0
10204,1164
3575,0
3500,0
2181,2010
3500,0
3500,0
358,3479
3266,2248
7200,0
1032,10727
4615,0
3500,0
3650,0
3500,0
1382,195
3575,0
3500,0
3575,0
1690,4230
3500,0
0,7500
1554,-339
2427,408
0,3360
2619,140
3575,0
3500,0
7329,55
3693,0
212,2775
3500,0
3500,0
1619,44
3500,0
-14,107
3426,196
3500,0
4481,64
29470,938
3500,0
0,-720
30,1046
7124,43
3500,0
3215,72
3575,0
1519,1800
3360,0
3360,0
3111,637
3082,150
-3794,31
1719,48
2490,1821
3575,0
3194,50
750,4187
158,151
1173,50034
6508,500
3534,1000
3500,0
1050,0
7016,79
8496,38
2745,0
3500,0
848,8
3500,0
3500,0
3575,0
3575,0
3500,0
177,410
14417,199
8702,0
3500,0
3394,37
8600,36
-9690,0
0,3575
3500,0
2796,18
2822,231
3650,0
-2,8
107,151
3500,0
3500,0
0,3360
3575,0
3575,0
800,2368
3575,0
12494,611
3650,0
2270,27228
3575,0
1916,773
0,3360
3500,0
3500,0
3357,537
3500,0
3500,0
3500,0
3606,385
2459,1000
0,3500
3500,0
608,-788
3575,0
33879,0
3650,0
2459,1000
3500,0
3500,0
3500,0
4056,674
3500,0
2815,1235
1591,4
398,2
3575,0
-280,3500
75,3165
3500,0
2655,600
-88,4108
3500,0
3360,0
3500,0
17846,3
-6456,3
10128,436
3500,0
3500,0
3500,0
3500,0
3825,0
495,260
1873,15
3575,0
3725,0
2408,800
3500,0
1265,77
10724,55
3575,0
3500
3500,0
3500,0
3500,0
6899,146
-168,148
216,11
2345,421
1658,360
3500,0
680,335
3500,0
3875,1248
3575,0
0,7500
2450,2302
3701,2159
3500,0
19290,1831
17498,526
3500,0
2701,194
3500,0
4738,300
1584,662
3650,0
3500,0
3575,0
3399,135
11866,18977
3500,0
3500,0
100,18120
0,3360
3500,0
3500,0
-1631,4004
3500,0
3575,0
47689,633
0,7200
3500,0
351,2800
3500,0
3500,0
3500,0
3500,0
